channels,headlines,times,links
CNBC Indonesia,"Jakarta, CNBC Indonesia - Hashtag stop bayar pajak menggema di media sosial twitter dalam sepekan terakhir. Kicauan protes tersebut muncul...",50 mnt lalu,https://www.cnbcindonesia.com/news/20220721081049-4-357263/ramai-stopbayarpajak-begini-jawaban-menohok-sri-mulyani
CNBC Indonesia,"Jakarta, CNBC Indonesia - Rusia dilaporkan mengirimkan dua bomber nuklir supersonik di atas laut utara Finlandia dan Swedia.",13 jam lalu,https://www.cnbcindonesia.com/news/20220720162948-4-357177/ngeri-putin-kirim-2-bomber-nuklir-dekat-finlandia-swedia
CNBC Indonesia,"Jakarta, CNBC Indonesia - Bursa saham Amerika Serikat (AS) bergerak variatif pada pembukaan perdagangan Rabu (20/7/2022), setelah kemarin...",12 jam lalu,https://www.cnbcindonesia.com/market/20220720205254-17-357239/pengajuan-kpr-warga-as-turun-6-wall-street-dibuka-variatif
CNBC Indonesia,"Jakarta, CNBC Indonesia - Harga minyak goreng terpantau semakin melandai. Sistem Pemantauan Pasar dan Kebutuhan Pokok Kementerian...",1 hari lalu,https://www.cnbcindonesia.com/news/20220720073141-4-356881/harga-minyak-goreng-turun-terus-mi-instan-malah-terbang
CNBC Indonesia,"Jakarta, CNBC Indonesia -Inflasi yang mengancam perekonomian membuat industri mobil menawarkan sejumlah fitur menarik untuk ditawarkan ke...",13 jam lalu,https://www.cnbcindonesia.com/news/20220720184312-8-357222/persaingan-fitur-mobil-canggih-di-tengah-inflasi
CNBC Indonesia,"Jakarta, CNBC Indonesia - Perang dagang yang dimulai pada awal 2018 menjadi awal retaknya hubungan China dengan Amerika Serikat (AS).",23 jam lalu,https://www.cnbcindonesia.com/market/20220719204350-17-356860/china-buang-obligasi-as-rp-3000-t-rusia-lebih-dahsyat
CNBC Indonesia,"Jakarta, CNBC Indonesia - Lonjakan harga tiket pesawat terbang beberapa bulan terakhir ternyata tak berdampak pada permintaan penerbangan...",11 jam lalu,https://www.cnbcindonesia.com/news/20220720200030-4-357235/harga-meledak-tiket-luar-negeri-tetap-diburu-orang-kaya-ri
CNBC Indonesia,"Jakarta, CNBC Indonesia- Kian Agresifnya The Fed menaikkan suku bunga yang berimbas semakin tertekannya nilai tukar Rupiah disebut Head of...",15 jam lalu,https://www.cnbcindonesia.com/market/20220720164515-19-357188/rupiah-kian-tertekan-bunga-acuan-bi-perlu-segera-naik
CNBC Indonesia,"Jakarta, CNBC Indonesia - Presiden Amerika Serikat (AS) Joe Biden mengumumkan serangkaian tindakan untuk memerangi perubahan iklim dalam...",3 jam lalu,https://www.cnbcindonesia.com/news/20220720192409-4-357229/ada-kabar-buruk-dari-biden-untuk-batu-bara-cs
CNBC Indonesia,"Jakarta, CNBC Indonesia - Lebih dari 100 juta orang di Amerika Serikat (AS) mendapat peringatan, Rabu (20/7/2022).",13 jam lalu,https://www.cnbcindonesia.com/news/20220720160746-4-357163/as-beri-warning-100-juta-lebih-warganya-ada-apa
